terrain,mission,held_context_id,held_signature_count,shared_log_predictive,uniform_log_predictive,delta_log_predictive
rough_perlin,fast,rough_train:rough_perlin:18,6,-0.19463529256073775,-0.8650684255069748,0.6704331329462371
rough_perlin,fast,rough_train:rough_perlin:20,4,-0.28197402522947357,-1.2687083857434198,0.9867343605139463
rough_perlin,fast,rough_train:rough_perlin:22,4,-0.7285945069792552,-2.081183435987457,1.3525889290082018
rough_perlin,fast,rough_train:rough_perlin:25,4,-0.493139878721389,-1.6174424768020297,1.1243025980806407
rough_perlin,fast,rough_train:rough_perlin:28,5,-0.649682740838594,-1.0505265477135102,0.40084380687491616
rough_perlin,fast,rough_train:rough_perlin:29,3,-0.613250236463435,-0.8469138801380683,0.23366364367463333
rough_perlin,fast,rough_train:rough_perlin:4,6,-0.6959217764176252,-0.9531827004772437,0.25726092405961853
rough_perlin,fast,rough_train:rough_perlin:5,3,-0.4432738023399129,-1.3364428794139016,0.8931690770739886
rough_perlin,fast,rough_train:rough_perlin:6,5,-0.5685808366479874,-0.7249867184927347,0.15640588184474724
rough_perlin,fast,rough_train:rough_perlin:7,4,-0.3998101691748772,-1.4865878693691386,1.0867777001942613
rough_perlin,fast,rough_train:rough_perlin:8,3,-0.010662951829852219,-0.1919968368848958,0.18133388505504358
rough_perlin,stable,rough_train:rough_perlin:0,6,-0.4702541016969355,-0.641667930825318,0.17141382912838254
rough_perlin,stable,rough_train:rough_perlin:10,6,-0.363403259986228,-1.0428558207436063,0.6794525607573783
rough_perlin,stable,rough_train:rough_perlin:11,5,-0.3073116101499275,-0.5539910402043967,0.24667943005446918
rough_perlin,stable,rough_train:rough_perlin:12,3,-0.07776645773848934,-0.25645393864332117,0.17868748090483183
rough_perlin,stable,rough_train:rough_perlin:13,5,-0.25112374958203265,-1.0296379617907385,0.7785142122087059
rough_perlin,stable,rough_train:rough_perlin:15,3,-0.14861703419247854,-0.8549807464129886,0.7063637122205101
rough_perlin,stable,rough_train:rough_perlin:17,6,-0.6459007880135182,-0.7499425008561523,0.10404171284263408
rough_perlin,stable,rough_train:rough_perlin:18,6,-0.5738173858565636,-0.5522524109892563,-0.02156497486730735
rough_perlin,stable,rough_train:rough_perlin:20,6,-0.4799146898868341,-0.41456905018750617,-0.06534563969932794
rough_perlin,stable,rough_train:rough_perlin:22,6,-0.3628089419022946,-0.6578606023181344,0.29505166041583974
rough_perlin,stable,rough_train:rough_perlin:25,5,-0.11580962779415085,-0.35999553030023,0.24418590250607916
rough_perlin,stable,rough_train:rough_perlin:28,6,-0.6043754124907603,-1.0999742223624038,0.4955988098716435
rough_perlin,stable,rough_train:rough_perlin:29,3,-0.19037501219356687,-0.9107994144932174,0.7204244022996505
rough_perlin,stable,rough_train:rough_perlin:4,4,-0.7803723097419162,-1.0279395873413624,0.2475672775994462
rough_perlin,stable,rough_train:rough_perlin:5,6,-0.31616538891639073,-0.3635293088877405,0.047363919971349755
rough_perlin,stable,rough_train:rough_perlin:6,6,-0.6931500403235042,-1.1450850414467446,0.45193500112324037
rough_perlin,stable,rough_train:rough_perlin:7,6,-0.4524915889941119,-1.2401244424373934,0.7876328534432815
rough_perlin,stable,rough_train:rough_perlin:8,3,-0.7502643308506908,-1.4732395610225308,0.7229752301718401
